,nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
73,ALIEL MACHADO BARK,M,87,4,1,24,4,18,26/02/1989,"347.931,31","22.858,25","39.946,86","62.571,89","38.533,06","76.089,49","24.295,38","28.273,90","23.005,48","12.282,83","18.900,49","1.173,68",,"1.081.191,02","104.192,43","107.598,59","109.833,85","109.833,85","109.833,85","109.833,85","109.833,85","107.741,73","105.688,07","106.800,95",,,"33.763,00"
74,ALTINEU CÔRTES FREITAS COUTINHO,M,70,22,0,0,0,0,13/09/1968,"186.690,17","22.950,23","23.219,48","33.714,07","29.471,47","28.820,90","22.012,04","2.946,96","3.780,62","1.343,75","17.254,49","1.176,16",,"1.085.480,54","101.858,85","106.309,60","106.309,60","108.949,45","109.609,41","109.433,70","108.595,22","111.471,57","111.471,57","111.471,57",,,"33.763,00"
75,ALUISIO GUIMARAES MENDES FILHO,M,89,1,2,72,0,22,11/11/1961,"317.362,69","25.340,80","36.588,93","41.060,22","31.580,50","47.983,46","29.134,59","32.169,00","33.370,12","18.433,71","21.701,36","0,00",,"1.054.299,62","100.867,02","99.710,02","103.375,35","105.273,59","107.753,29","105.155,90","106.424,88","107.753,29","108.904,58","109.081,70",,,"33.763,00"
76,ANDRE LUIZ CARVALHO RIBEIRO,M,63,29,0,2,1,8,27/08/1989,"293.299,00","24.003,48","26.127,61","39.048,96","35.638,26","42.647,02","37.783,22","29.531,60","32.503,83","19.736,89","6.278,13","0,00",,"1.108.487,53","111.010,61","111.270,57","111.617,19","111.617,19","111.617,19","110.019,66","106.829,30","111.501,94","111.501,94","111.501,94",,,"33.763,00"
77,JOSE AROLDO SOUZA MARTINS,M,82,7,3,11,3,9,03/07/1961,"300.060,22","31.512,26","37.662,65","36.689,17","28.982,93","39.208,71","34.863,74","19.929,95","17.257,74","27.042,72","26.910,35","0,00",,"1.108.830,41","111.647,50","111.647,50","110.268,42","111.611,13","111.611,13","110.803,16","107.763,81","110.182,72","111.647,52","111.647,52",,,"33.763,00"
78,ARTHUR CÉSAR PEREIRA DE LIRA,M,74,18,0,0,0,0,25/06/1969,"185.141,73","16.589,40","24.456,70","24.580,67","25.462,74","25.368,31","17.145,09","10.852,76","12.044,58","18.813,51","9.538,87","289,10",,"1.114.717,20","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72","111.471,72",,,"33.763,00"
79,ARTHUR DE OLIVEIRA MAIA DA SILVA,M,76,6,10,28,3,4,17/08/1964,"380.129,11","37.726,35","40.284,32","38.045,65","42.004,01","39.008,65","42.234,93","39.329,37","39.706,79","28.272,13","26.618,30","6.898,61",,"1.068.263,22","104.391,37","106.164,17","109.590,30","109.514,20","110.873,08","108.274,74","108.274,74","106.502,35","102.202,45","102.475,82",,,"33.763,00"
80,ANDRE LUIS GASPAR JANONES,M,87,1,4,50,1,12,05/05/1984,"303.629,95","22.256,52","30.867,91","30.909,27","30.603,82","51.016,32","28.645,22","24.293,97","31.050,13","25.058,33","26.341,83","2.586,63",,"1.113.576,56","111.562,47","109.429,47","111.562,47","111.562,47","111.562,47","111.562,47","111.562,47","111.562,47","111.574,59","111.635,21",,,"33.763,00"
81,DANIEL TRZECIAK DUARTE,M,86,6,0,31,8,6,04/11/1986,"214.073,24","9.307,83","15.955,97","16.366,04","39.352,32","18.241,57","20.817,46","28.100,30","16.051,09","16.840,25","32.070,78","969,63",,"1.044.495,31","105.455,53","105.415,99","105.436,13","105.982,05","108.226,36","109.497,39","106.036,48","94.998,83","99.412,79","104.033,76",,,"33.763,00"
82,AUGUSTO RODRIGUES COUTINHO DE MELO,M,87,2,3,39,2,21,22/10/1962,"403.903,52","45.160,36","50.282,74","31.848,38","47.084,27","51.557,80","50.070,10","37.472,37","25.761,40","19.113,74","31.891,03","13.661,33",,"1.078.338,72","109.231,24","110.580,87","111.483,62","106.382,46","107.116,23","110.687,98","104.644,11","107.177,08","106.702,93","104.332,20",,,"33.763,00"
83,AUREO LIDIO MOREIRA RIBEIRO,M,87,1,4,44,0,1,17/02/1979,"246.132,57","13.290,11","19.340,29","37.320,85","34.360,09","77.355,81","25.856,64","21.729,25","2.536,72","3.653,20","10.644,37","45,24",,"1.093.262,21","109.256,70","110.855,41","110.114,53","105.572,72","110.342,51","109.761,58","109.008,81","108.623,14","109.008,81","110.718,00",,,"33.763,00"
84,DANIEL LUCIO DA SILVEIRA,M,89,1,2,87,1,58,25/11/1982,"307.400,84","35.637,58","37.560,86","37.098,84","37.913,96","39.709,62","33.297,09","28.745,65","27.784,42","13.563,62","14.939,77","1.149,43",,"1.050.905,67","104.730,18","106.558,15","108.774,14","109.706,94","105.193,39","103.433,49","86.143,80","107.120,36","107.862,35","111.382,87",,,"33.763,00"
85,DANIEL COSTA DE FREITAS,M,77,0,15,3,0,0,03/04/1982,"305.465,83","38.606,89","24.248,40","43.103,43","47.999,13","45.138,90","30.847,10","32.894,95","25.917,35","4.096,46","12.109,81","503,41",,"1.099.503,46","105.697,03","105.697,03","109.243,35","110.816,55","110.933,95","111.423,11","111.423,11","111.423,11","111.423,11","111.423,11",,,"33.763,00"
86,DANILO JORGE DE BARROS CABRAL,M,83,3,6,8,6,22,21/04/1967,"287.464,54","23.243,32","23.195,87","25.003,47","45.722,17","49.445,71","26.152,01","32.469,21","12.877,47","8.866,71","39.648,42","840,18",,"1.005.945,69","95.045,26","95.045,26","94.090,38","98.095,56","99.861,52","99.861,52","100.443,65","100.923,05","111.114,04","111.465,45",,,"33.763,00"
87,DAVID BEZERRA RIBEIRO SOARES,M,63,11,3,47,12,1,21/12/1973,"183.939,37",,,"31.858,14","35.507,14","29.111,16","37.770,69","23.083,39","13.606,57","7.900,18","4.802,08","300,02",,"1.068.591,77","103.135,91","105.402,63","105.964,51","99.800,43","107.637,25","108.516,33","107.977,68","108.297,02","111.277,52","110.582,49",,,"33.763,00"
88,EDER MAURO CARDOSO BARRA,M,79,3,10,4,0,12,14/12/1960,"325.195,22","46.351,28","56.697,20","17.871,34","52.514,33","52.104,65","51.446,49","39.019,70","6.514,58","2.675,65","0,00","0,00",,"1.101.131,44","111.587,65","111.029,67","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37",,,"33.763,00"
89,MARCELO EDUARDO FREITAS,M,80,6,6,66,1,1,04/03/1976,"290.526,28","31.421,05","43.796,10","37.148,52","24.745,40","39.348,34","29.355,58","26.303,93","19.417,00","19.550,28","18.633,84","806,24",,"1.067.668,96","104.088,18","105.813,10","103.290,21","102.664,07","110.724,59","111.483,80","111.483,80","107.272,97","107.289,51","103.558,73",,,"33.763,00"
90,DARCI DE MATOS,M,80,2,10,55,3,9,08/11/1961,"269.534,87","27.456,09","37.612,31","41.962,71","38.942,67","42.279,75","18.366,03","26.329,15","14.161,38","1.290,05","20.268,72","866,01",,"1.112.429,82","111.593,97","111.623,31","111.579,26","111.659,67","111.659,67","110.174,35","110.543,76","111.508,04","111.508,04","110.579,75",,,"33.763,00"
91,ANTÔNIO DA LUZ FURTADO,M,90,1,1,73,6,19,06/01/1972,"288.816,41","34.263,89","43.088,49","42.959,20","32.920,98","47.359,21","16.303,12","19.852,22","12.243,23","8.092,66","27.244,72","4.488,69",,"1.115.182,54","110.967,56","111.125,87","111.617,20","111.617,20","111.617,20","111.623,07","111.653,61","111.653,61","111.653,61","111.653,61",,,"33.763,00"
92,PABLO OLIVA SOUZA,M,78,0,14,112,0,30,26/07/1976,"369.191,63","28.267,00","51.491,99","65.512,79","64.732,08","41.341,87","31.189,75","32.398,76","26.832,20","17.440,00","7.823,37","2.161,82",,"977.905,08","99.985,47","73.344,51","92.308,59","99.950,28","106.315,17","106.987,85","101.323,39","101.342,41","107.310,62","89.036,79",,,"33.763,00"
93,DIMAS FABIANO TOLEDO JÚNIOR,M,86,5,1,18,3,1,23/05/1973,"283.523,77","30.575,40","29.897,78","36.489,01","37.782,58","34.645,39","23.877,46","33.775,98","26.291,36","16.347,48","12.634,33","1.207,00",,"965.287,10","92.717,74","90.647,71","88.844,00","89.894,36","93.796,44","94.254,41","100.197,24","96.972,36","108.044,05","109.918,79",,,"33.763,00"
94,DOMINGOS GOMES DE AGUIAR NETO,M,79,6,7,30,6,25,29/04/1988,"346.157,45","33.731,48","52.313,10","36.169,17","53.317,93","77.719,59","22.751,47","19.502,64","3.346,59","2.837,01","44.468,47","0,00",,"1.105.842,15","111.544,43","111.544,43","110.497,19","107.599,23","111.235,68","111.617,24","111.617,24","111.617,24","111.617,24","106.952,23",,,"33.763,00"
95,DIEGO LEONARDO DE ANDRADE CARVALHO,M,70,22,0,7,11,9,08/08/1977,"217.838,28","28.386,47","32.013,45","32.859,73","17.554,55","41.393,91","15.224,17","22.079,82","8.663,35","11.458,92","8.203,91","0,00",,"1.109.625,13","111.580,82","111.580,82","111.580,82","111.580,82","111.580,82","111.535,53","111.241,15","110.635,35","109.154,50","109.154,50",,,"33.763,00"
96,DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,89,3,0,134,3,43,10/10/1984,"263.861,19","9.153,29","13.917,88","34.960,78","39.069,90","47.847,45","36.301,69","32.663,59","20.367,53","6.819,55","16.986,39","5.773,14",,"916.158,19","93.054,98","91.310,31","97.522,54","98.459,58","96.593,67","96.173,37","99.859,25","84.300,62","79.772,64","79.111,23",,,"33.763,00"
97,DENIS ANDERSON DA ROCHA BEZERRA,M,88,1,3,70,1,9,17/03/1980,"400.260,91","46.094,78","53.674,69","52.475,51","52.185,85","40.861,85","33.475,40","24.901,37","18.145,39","17.544,23","44.329,57","16.572,27",,"1.078.559,49","110.743,73","108.800,92","108.144,99","106.767,55","106.327,19","107.307,01","102.136,31","107.474,82","111.617,19","109.239,78",,,"33.763,00"
98,WALDIR SOARES DE OLIVEIRA,M,86,6,0,7,5,44,28/11/1962,"149.309,65","14.119,59","16.610,96","17.642,50","17.254,73","17.514,69","15.282,52","15.088,53","12.955,79","10.015,33","11.921,51","903,50",,"987.728,92","101.978,63","99.618,58","96.319,60","92.534,14","92.534,14","94.998,88","101.543,63","103.436,75","102.749,57","102.015,00",,,"33.763,00"
99,LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,67,0,25,14,0,22,15/12/1973,"266.546,32","27.501,17","33.784,37","41.465,77","43.233,68","38.833,58","24.163,31","23.117,56","18.685,19","10.202,91","5.508,98","49,80",,"1.074.387,81","97.653,62","97.653,62","108.819,42","110.434,31","110.434,31","110.434,31","110.434,31","110.413,15","111.647,44","106.463,32",,,"33.763,00"
100,JOSÉ CARLOS VERAS DOS SANTOS,M,89,3,0,42,8,33,10/08/1981,"346.470,48","23.450,32","50.658,26","61.233,10","37.074,81","65.132,56","29.707,30","34.668,74","24.844,59","5.992,91","12.474,14","1.233,75",,"1.062.773,43","102.271,86","100.443,89","100.443,89","105.043,78","108.026,51","106.855,41","109.678,36","109.831,56","109.119,16","111.059,01",,,"33.763,00"
101,CARLOS ALBERTO ROLIM ZARATTINI,M,86,2,4,20,1,19,08/06/1959,"297.688,94","27.151,54","32.367,11","64.118,33","25.278,01","55.777,06","28.292,59","25.051,27","14.054,68","10.433,06","13.858,47","1.306,82",,"1.115.444,20","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42",,,"33.763,00"
102,CASSIO COELHO ANDRADE,M,70,22,0,36,15,25,12/09/1981,"307.608,33","21.728,53","32.899,83","26.323,38","50.683,51","58.046,30","36.031,58","14.449,73","9.264,77","3.863,84","54.316,86","0,00",,"1.114.161,17","111.653,55","111.594,40","111.574,68","111.574,68","111.574,68","111.574,67","110.238,62","111.444,93","111.465,48","111.465,48",,,"33.763,00"
103,DOMINGOS SÁVIO CAMPOS RESENDE,M,87,3,2,29,1,6,25/03/1957,"311.182,97","24.341,19","52.616,35","44.927,02","32.735,37","48.074,76","26.928,66","27.300,43","24.815,98","18.843,40","9.599,00","1.000,81",,"1.108.990,28","109.833,82","109.833,82","111.183,95","111.653,56","110.747,01","110.990,37","111.313,88","110.806,11","111.313,88","111.313,88",,,"33.763,00"
104,FRANCISCO JOSÉ D'ANGELO PINTO,M,83,3,6,31,2,34,11/02/1953,"284.234,89","31.896,36","27.273,29","30.877,95","43.620,43","41.207,47","32.636,24","30.772,24","20.679,40","17.903,83","6.817,68","550,00",,"1.113.229,62","111.574,71","111.574,71","110.060,41","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.481,37",,,"33.763,00"
105,CELIO STUDART BARBOSA,M,80,3,9,16,3,16,19/06/1987,"334.771,25","42.405,28","77.088,77","34.915,78","50.390,81","46.271,91","22.564,85","25.601,39","14.660,40","4.343,55","16.378,51","150,00",,"1.098.247,56","111.276,50","111.198,61","111.550,82","111.653,55","111.653,55","107.237,22","111.313,87","108.312,84","107.025,30","107.025,30",,,"33.763,00"
106,CELSO MALDANER,M,82,5,5,22,2,1,30/08/1953,"369.913,72","24.680,20","30.121,77","43.359,15","32.327,41","41.007,63","27.013,34","28.086,87","25.892,83","22.602,17","51.620,99","43.201,36",,"1.104.561,40","111.010,67","111.140,65","111.370,11","108.394,27","109.190,92","109.485,71","110.743,36","111.470,49","111.162,32","110.592,90",,,"33.763,00"
107,CELIO ANTONIO DA SILVEIRA,M,88,4,0,31,1,6,19/09/1959,"249.268,07","18.102,06","29.238,30","30.935,93","27.982,39","31.959,23","18.044,17","17.332,28","17.806,01","16.854,28","40.969,73","43,69",,"1.113.420,47","111.671,79","111.671,79","111.671,79","111.671,79","111.671,79","110.968,96","109.631,33","111.578,65","111.441,29","111.441,29",,,"33.763,00"
108,ANTONIO CEZAR CORREIA FREIRE,M,85,0,7,38,0,39,12/12/1973,"325.836,31","37.003,29","36.167,38","38.256,80","50.290,01","47.505,37","20.781,53","34.316,10","29.210,00","16.683,05","14.273,67","1.349,11",,"1.112.642,54","111.383,97","110.930,03","111.423,09","111.423,09","111.169,89","111.423,09","110.326,94","111.485,72","111.538,36","111.538,36",,,"33.763,00"
109,CHARLES FERNANDES SILVEIRA SANTANA,M,90,1,1,35,0,6,15/03/1965,"323.383,76","24.256,26","47.976,68","50.658,86","46.560,45","48.292,35","27.745,84","27.027,00","19.586,71","19.284,11","10.381,44","1.614,06",,"1.112.836,72","111.439,65","111.389,19","111.507,90","111.507,88","110.522,28","111.149,99","111.433,52","111.507,87","111.507,87","110.870,57",,,"33.763,00"
110,CHARLLES THOMACELLI EVANGELISTA,M,88,4,0,27,5,4,27/12/1984,"272.031,91","22.449,08","36.430,49","47.122,47","36.668,39","49.948,09","24.701,10","21.331,84","25.587,97","1.432,93","6.359,55","0,00",,"1.059.386,34","102.330,37","102.010,39","103.658,78","105.928,21","106.859,77","104.041,72","106.811,02","110.258,36","110.258,36","107.229,36",,,"33.763,00"
111,JOÃO FRANCISCO INÁCIO BRAZÃO,M,84,0,8,50,0,4,22/02/1962,"291.545,15","5.628,16","25.886,77","61.019,13","45.809,13","49.940,05","27.195,38","11.919,52","9.234,91","18.890,85","36.021,25","0,00",,"1.114.045,59","111.623,18","110.117,12","110.943,03","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18",,,"33.763,00"
112,CHRISTINO AUREO DA SILVA,M,87,5,0,22,7,7,26/04/1962,"364.350,26","35.707,47","43.836,64","42.917,16","48.167,17","53.926,39","32.622,07","26.143,21","21.788,64","18.368,80","40.258,88","613,83",,"1.111.010,04","111.412,57","111.647,36","107.066,29","111.310,13","111.604,92","111.604,92","111.604,92","111.604,92","111.585,50","111.568,51",,,"33.763,00"
113,LUIZ ARMANDO SCHROEDER REIS,M,84,4,4,40,0,1,23/06/1957,"243.119,72","12.148,50","26.826,54","33.216,85","48.925,26","49.749,39","25.127,17","20.027,71","10.975,22","4.534,03","9.709,47","1.879,58",,"1.092.037,31","101.236,10","103.071,39","111.201,67","110.216,08","110.773,16","111.095,62","111.269,37","111.508,09","111.508,09","110.157,74",,,"33.763,00"
114,JOÃO CHRISÓSTOMO DE MOURA,M,89,0,3,68,0,35,23/06/1959,"368.241,44","43.569,56","50.409,86","41.654,50","41.798,47","49.488,53","35.493,95","36.213,06","25.552,93","16.022,94","27.543,32","494,32",,"1.064.563,22","107.323,44","106.208,72","102.467,86","107.196,50","98.159,34","108.000,77","107.946,98","108.363,78","109.587,98","109.307,85",,,"33.763,00"
115,MARCIO TADEU ANHAIA DE LEMOS,M,88,0,4,61,0,14,30/09/1965,"332.916,64","37.359,64","45.903,08","33.260,17","32.063,81","48.565,66","27.237,62","25.482,15","17.392,78","17.775,38","28.430,40","19.445,95",,"1.088.567,27","111.127,47","109.317,63","107.351,00","101.360,55","110.345,01","108.448,48","106.340,00","111.358,01","111.459,56","111.459,56",,,"33.763,00"
116,LUIS ANTONIO FRANCISCATTO COVATTI,M,89,0,3,33,1,12,25/07/1987,"354.596,62","39.901,49","64.904,76","45.888,49","45.547,51","61.494,69","34.354,07","35.673,58","7.646,43","612,00","17.873,82","699,78",,"1.087.781,16","110.922,09","111.617,12","107.422,09","109.771,87","110.840,89","108.844,64","97.398,86","110.212,41","110.288,12","110.463,07",,,"33.763,00"
117,CRISTIANO DUTRA VALE,M,80,12,0,25,5,3,10/04/1970,"339.850,13","20.452,98","49.639,93","30.338,48","43.108,68","49.829,99","38.126,87","26.721,78","30.470,89","32.141,42","18.563,85","455,26",,"1.053.658,38","110.040,22","103.847,89","110.040,22","105.919,51","103.859,15","98.892,22","97.650,62","104.977,00","107.755,43","110.676,12",,,"33.763,00"
118,JOSIAS MARIO DA VITORIA,M,89,0,3,0,0,0,02/06/1971,"344.528,51","39.721,75","61.373,19","36.361,78","48.373,97","37.143,23","27.515,03","30.632,01","27.567,15","23.415,71","10.098,49","2.326,20",,"1.103.849,80","109.916,03","109.232,89","110.340,24","110.968,15","110.968,15","110.968,15","111.559,84","110.395,01","111.192,57","108.308,77",,,"33.763,00"
119,FREDERICO DE CASTRO ESCALEIRA,M,83,0,9,24,0,57,24/03/1977,"310.970,98","31.170,62","36.914,75","42.269,93","38.087,59","42.514,00","33.769,22","28.862,16","24.728,50","11.486,99","20.931,45","235,77",,"1.106.826,40","111.212,41","111.201,53","110.944,53","108.641,77","111.313,96","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",,,"33.763,00"
120,LEONARDO RIBEIRO ALBUQUERQUE,M,91,0,1,27,1,2,14/06/1978,"319.714,69","42.371,40","36.053,31","44.978,86","51.992,40","41.703,89","36.956,95","29.525,44","11.128,25","9.478,35","15.240,77","285,07",,"1.047.250,04","99.981,22","100.959,57","99.231,78","108.961,58","104.982,41","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24",,,"33.763,00"
121,JAZIEL PEREIRA DE SOUSA,M,69,3,20,12,1,26,03/05/1961,"332.318,98","53.231,07","44.873,85","55.545,89","35.428,27","35.377,77","36.517,71","20.837,34","20.773,89","21.505,53","8.227,66","0,00",,"1.115.897,66","111.279,95","111.565,34","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51",,,"33.763,00"
122,DAGOBERTO NOGUEIRA FILHO,M,80,12,0,4,0,0,21/07/1955,"392.765,26","33.968,57","43.913,03","47.315,35","46.082,30","39.158,72","43.879,61","41.129,03","39.057,91","33.635,67","24.585,90","39,17",,"1.111.346,73","111.166,05","111.277,60","111.277,60","111.277,60","111.277,60","111.277,60","110.863,55","110.859,05","110.859,05","111.211,03",,,"33.763,00"
123,LUIZ ALBERTO OVANDO,M,86,5,1,70,0,12,25/09/1949,"353.911,42","40.038,05","41.231,34","52.947,39","46.480,82","47.335,38","30.870,88","29.474,27","27.038,62","21.752,29","13.797,33","2.945,05",,"973.451,59","96.640,72","96.640,72","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62",,,"33.763,00"
124,ZACARIAS CALIL HAMU,M,82,10,0,85,8,27,05/11/1953,"227.743,53","25.614,66","32.870,88","33.504,56","32.975,66","32.600,29","18.394,14","17.770,75","7.364,25","5.479,94","20.331,91","836,49",,"806.210,41","83.672,50","77.891,18","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18",,,"33.763,00"
125,ÉDIO VIEIRA LOPES,M,71,5,16,18,2,5,04/01/1952,"352.768,46","42.432,81","39.836,40","47.117,63","54.268,93","97.784,62","14.519,68","22.739,81","16.900,14","1.349,74","15.390,97","427,73",,"1.109.839,83","110.495,02","110.495,02","111.469,88","111.408,97","111.368,53","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52",,,"33.763,00"
126,EDILAZIO GOMES DA SILVA JUNIOR,M,87,5,0,12,1,0,04/05/1981,"274.890,22","29.645,70","67.991,37","21.709,65","54.054,00","19.692,50","28.378,82","18.023,27","5.308,77","14.235,23","15.850,91","0,00",,"1.113.908,02","111.402,54","111.185,22","111.659,65","111.166,30","111.659,65","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78",,,"33.763,00"
127,JOSE EDUARDO PEREIRA DA COSTA,M,83,9,0,10,6,9,16/02/1968,"333.478,23","37.602,77","29.483,97","45.130,56","42.628,52","64.988,16","22.063,45","21.894,85","13.694,30","16.136,05","37.509,90","2.345,70",,"1.112.028,74","111.313,96","111.313,96","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03",,,"33.763,00"
128,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,84,3,5,2,1,40,17/10/1972,"329.401,10","34.083,35","42.566,48","45.258,71","48.013,04","46.806,07","25.355,86","21.639,01","25.533,18","16.566,48","23.578,92","0,00",,"1.055.312,52","110.448,12","108.787,76","97.120,73","102.047,21","105.204,32","111.471,69","102.622,24","103.739,73","108.433,33","105.437,39",,,"33.763,00"
129,ELI DIAS BORGES,M,81,0,11,6,0,11,01/09/1960,"389.429,95","31.188,98","46.066,46","51.592,15","46.239,19","48.724,20","43.313,71","41.770,08","35.826,39","32.575,57","10.263,37","1.869,85",,"1.104.364,78","111.130,49","111.392,69","111.205,19","108.796,48","110.064,23","111.248,28","109.041,83","110.416,27","110.246,84","110.822,48",,,"33.763,00"
130,EFRAIM DE ARAÚJO MORAIS FILHO,M,73,9,10,6,5,14,18/03/1979,"265.206,49","31.920,25","54.289,28","52.463,46","51.650,40","42.763,10","7.412,58","9.627,39","8.755,96","1,36","5.893,42","429,29",,"1.115.589,62","111.148,60","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.575,98","111.544,43",,,"33.763,00"
131,ELIAS VAZ DE ANDRADE,M,82,9,1,81,5,14,04/07/1966,"167.084,01","15.838,58","26.200,21","25.592,46","27.999,68","27.596,14","12.853,99","11.787,89","3.017,22","323,45","15.362,24","512,15",,"1.074.212,44","105.866,83","105.866,83","104.555,04","105.866,83","106.630,73","108.826,95","108.826,95","108.826,95","108.826,95","110.118,38",,,"33.763,00"
132,ADRIANO ELI CORRÊA,M,82,0,10,42,0,27,13/01/1976,"265.305,28","22.593,30","23.225,37","28.285,66","57.687,80","56.126,53","30.297,57","22.196,45","6.522,28","421,69","17.948,63","0,00",,"1.048.068,72","105.205,60","105.205,60","105.205,60","105.205,60","101.881,14","104.761,01","106.115,52","106.115,52","106.115,52","102.257,61",,,"33.763,00"
133,ELMAR JOSE VIEIRA NASCIMENTO,M,68,24,0,1,0,0,06/07/1970,"401.079,82","11.585,43","41.325,81","49.088,47","60.314,77","42.793,20","47.062,33","37.636,26","47.299,08","35.534,24","28.440,23","0,00",,"1.088.843,14","111.611,09","111.611,09","111.611,09","111.095,09","111.611,09","110.283,89","98.339,09","103.946,26","108.324,61","110.409,84",,,"33.763,00"
134,EDUARDO PEDROSA CURY,M,88,3,1,73,1,3,19/09/1963,"331.285,52","44.245,79","43.411,00","38.868,35","28.628,41","38.316,02","37.405,99","32.488,40","25.399,98","15.738,89","25.605,38","1.177,31",,"989.725,85","101.582,78","92.109,71","91.148,77","97.477,96","98.965,06","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29",,,"33.763,00"
