,nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
27,FRANCISCO RODRIGUES VALE JUNIOR,M,87,3,2,25,2,6,15/03/1969,"309.142,86","17.093,58","30.616,27","50.032,21","33.547,10","38.718,63","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21","20.527,94",,"1.076.485,10","110.440,58","110.440,58","110.440,58","110.440,58","108.630,41","108.370,30","101.304,39","105.472,56","105.472,56","105.472,56",,,"33.763,00"
28,FLÁVIO RODRIGUES NOGUEIRA,M,91,1,0,39,0,4,27/02/1953,"395.772,41","38.329,27","41.835,51","39.604,13","37.048,37","42.494,03","47.068,00","42.082,62","36.727,61","36.484,39","34.098,48","0,00",,"1.106.884,69","110.937,69","110.937,69","111.074,66","110.962,76","111.467,18","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63",,,"33.763,00"
29,FREDERICO BORGES DA COSTA,M,83,9,0,14,1,5,12/07/1977,"285.262,12","14.730,30","29.479,43","41.701,41","55.095,45","44.266,74","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52","3.428,50",,"1.077.826,83","110.167,89","108.567,01","109.305,97","109.305,97","109.563,08","108.452,71","101.554,25","109.006,01","107.977,56","103.926,38",,,"33.763,00"
30,GENECIAS MATEUS NORONHA,M,58,31,3,0,0,0,13/03/1963,"182.956,80","6.912,14","17.143,52","35.003,95","26.327,99","19.477,71","14.497,11","13.104,39","10.260,84","26.907,04","13.322,11","0,00",,"1.012.113,82","92.989,03","98.109,44","100.534,90","101.430,22","99.984,28","106.905,63","103.040,08","103.040,08","103.040,08","103.040,08",,,"33.763,00"
31,ELIÉSER GIRÃO MONTEIRO FILHO,M,85,4,3,47,3,6,08/05/1955,"363.091,99","37.148,25","58.184,62","39.315,76","43.316,28","45.230,05","37.619,01","23.969,66","26.317,64","11.257,52","39.833,77","899,43",,"1.114.542,85","111.550,61","111.550,61","111.550,61","111.550,61","111.550,61","110.587,36","111.550,61","111.550,61","111.550,61","111.550,61",,,"33.763,00"
32,ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89,0,3,132,0,21,06/08/1954,"219.516,20","17.011,69","44.800,56","44.569,19","22.660,96","25.933,02","28.500,81","13.743,54","9.053,72","5.578,56","7.617,80","46,35",,"730.045,66","67.824,41","70.484,71","70.484,71","74.499,52","79.446,76","86.394,48","95.109,95","76.397,80","54.701,66","54.701,66",,,"33.763,00"
33,EUGENIO JOSÉ ZULIANI,M,51,17,24,9,17,37,13/01/1976,"286.007,56","35.715,90","40.468,18","42.837,22","40.713,17","63.995,25","18.553,55","16.151,75","15.973,11","2.755,29","8.115,64","728,50",,"1.080.042,52","111.641,38","111.641,38","111.641,38","106.897,30","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18",,,"33.763,00"
34,GILBERTO APARECIDO ABRAMO,M,85,2,5,19,1,6,06/08/1966,"276.601,65","18.146,52","22.003,33","27.404,71","34.209,75","32.718,06","23.558,03","15.039,80","18.280,76","12.603,88","12.846,34","59.790,47",,"1.077.796,52","106.564,34","106.564,34","107.092,65","108.384,08","108.384,08","108.384,08","107.270,71","108.384,08","108.384,08","108.384,08",,,"33.763,00"
35,GIOVANI CHERINI,M,86,3,3,40,3,13,23/06/1960,"419.082,83","35.135,42","42.357,46","49.953,41","49.975,70","53.766,31","54.876,19","39.994,44","42.715,35","21.531,51","27.017,18","1.759,86",,"1.114.323,38","111.574,70","111.574,70","111.574,70","111.574,70","111.574,70","110.520,47","111.205,28","111.574,71","111.574,71","111.574,71",,,"33.763,00"
36,ENIO JOSÉ VERRI,M,89,2,1,32,0,4,27/03/1961,"350.522,15","38.190,58","37.467,64","68.879,63","38.986,43","43.960,07","29.704,02","25.886,97","22.258,37","24.764,98","20.363,46","60,00",,"1.111.367,61","111.398,83","111.398,83","111.398,83","110.220,44","110.749,59","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",,,"33.763,00"
37,GIOVANI BATISTA FELTES,M,91,0,1,18,0,4,10/04/1957,"296.462,55","32.091,85","37.369,29","35.989,03","63.623,79","29.111,39","20.875,74","31.955,95","26.391,45","8.680,69","8.989,17","1.384,20",,"1.095.245,29","111.083,28","111.101,04","111.544,86","109.378,77","108.521,73","109.627,69","107.747,07","108.089,89","109.075,48","109.075,48",,,"33.763,00"
38,EMANUEL PINHEIRO DA SILVA PRIMO,M,70,3,19,11,1,7,05/01/1995,"260.989,20","18.918,90","40.897,04","43.529,50","29.158,03","34.158,66","52.895,35","15.688,43","14.630,60","825,90","6.028,96","4.257,83",,"1.067.534,67","108.820,92","109.941,35","111.435,25","111.435,25","110.245,56","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35",,,"33.763,00"
